Nome,SKU,Categorias (valor bruto exato),Tags (valor bruto),Titulo SEO (valor bruto),Descricao SEO (valor bruto),Marca (valor bruto),MPN (valor bruto),Caracteres de hierarquia encontrados em Categorias
KIT INICIANTE 3 + KIT RETENÇÃO COMPLETO,(vazio),'Extensão de Cílios',"'como começar extensão de cílios, ferramentas para lash designer, kit 5 tipos de cílios, kit cherry lash, kit cílios profissional completo, kit com curso de cílios, kit com kit retenção, kit completo extensão cílios, kit completo lash designer, kit iniciante 3 extensão de cílios, kit iniciante completo cílios, kit lash com curso online, kit para começar extensão de cílios, kit para lash designer profissional, kit retenção cherry lash, material lash designer completo, material para extensão de cílios'",'Kit Iniciante 3 Extensão de Cílios | Completo + Retenção',"'Kit Iniciante 3 completo: 30+ itens, 5 tipos de cílios, Kit Retenção Cherry Lash e curso online incluso. O kit mais completo para lash designer!'",'Kit Iniciante Loe Mimos',(vazio),NENHUM
KIT INICIANTE 1,(vazio),'Extensão de Cílios',"'acessórios extensão de cílios, cola para cílios, como começar extensão de cílios, ferramentas para lash designer, kit cílios completo, kit completo extensão cílios, kit iniciante cílios, kit iniciante extensão de cílios, kit lash designer iniciante, kit para começar extensão de cílios, kit para iniciante lash, kit para lash designer, kit profissional cílios, material lash designer, material para extensão de cílios, pinças para cílios'",'Kit Iniciante Extensão de Cílios | Completo para Lash',"'Kit Iniciante completo para extensão de cílios: cílios, pinças, cola, removedor, nano mister e muito mais. Tudo para começar sua carreira. Em 12x!\n'",(vazio),(vazio),NENHUM
Kit navalha 3 unidades,(vazio),"'Extensão de Cílios, Sobrancelha '",(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Lash Box Organizador de Cílios,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Lente macro,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Microbrush 100 un,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Misturador mixer - Misturador de Henna,(vazio),"'Extensão de Cílios, Sobrancelha '",(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Nano mister,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pad 25 pares,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
PAD 50 unidades- pares,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Palito Para Alinhamento E Limpeza Henna Design Sobrancelhas,(vazio),"'Extensão de Cílios, Sobrancelha '",(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pinça chafrada Solingen,(vazio),"'Extensão de Cílios, Sobrancelha '",(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pinça chanfrada para sobrancelha,(vazio),"'Extensão de Cílios, Sobrancelha '","'chanfrada, ergonômica, precisão, profissional, sobrancelha'",'Pinça Chanfrada para Sobrancelha: Precisão e Conforto','Pinça Chanfrada para sobrancelha com ponta diagonal para remoção precisa e design ergonômico. Garanta sobrancelhas definidas com praticidade. Compre agora!','Vetus',(vazio),NENHUM
Pinça curva dourada,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pinça curva para extensão de cílios,(vazio),'Extensão de Cílios',"'cílios, curva, ergonômica, extensão, pinça'",'Pinça Curva para Extensão de Cílios - Precisão e Conforto Rosa',"'Pinça curva rosa, resistente e ergonômica, ideal para extensão de cílios com precisão e durabilidade. Compre e eleve seu trabalho agora!'",'Sem marca definida',(vazio),NENHUM
Pinça curva para extensão de cílios,(vazio),'Extensão de Cílios',"'aço, curva, precisão, profissional, volume'",'Pinça Curva para Extensão de Cílios Rosa - Precisão Profissional',"'Pinça curva em aço inox para extensão de cílios, ideal para volume russo. Conforto e precisão para resultados perfeitos. Compre agora!'",(vazio),(vazio),NENHUM
Pinça curva - Vetus,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pinça curva - Vetus - Preta,(vazio),'Extensão de Cílios',"'curva, pinça, precisão, profissional, vetus'",'Pinça Curva Vetus Preta - Precisão e Conforto Profissional','Pinça Curva Vetus Preta em aço inox para alta precisão e conforto em extensões de cílios e sobrancelhas. Compre já e transforme seu trabalho!','Vetus',(vazio),NENHUM
Pinça dourada,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pinça formato golfinho dourada,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pinça formato golfinho para cílios,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pinça Nagaraku ST15 - Curva,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),'Nagaraku',(vazio),NENHUM
Pinça para sobrancelha reta,(vazio),"'Extensão de Cílios, Sobrancelha '","'dourada, pinça, precisão, reta, sobrancelha'",'Pinça para Sobrancelha Reta Dourada - Precisão e Durabilidade',"'Pinça para sobrancelha reta dourada, ideal para pelos grossos. Alta precisão e design elegante. Compre e realce sua beleza natural!'",'Vetus',(vazio),NENHUM
Pincel aplicador gloss 50un,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pincel de limpeza cílios,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Pisseta para limpeza de cílios,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Rosto de treino para cílios,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Suporte organizador de pinças,(vazio),'Extensão de Cílios',"'acrílico, durabilidade, organizador, pinça, profissional'",'Suporte organizador de pinças em acrílico resistente - armazena 6 pi','Mantenha suas pinças organizadas e protegidas com suporte em acrílico resistente. Ideal para profissionais que valorizam qualidade e durabilidade. Compre já!',(vazio),(vazio),NENHUM
Suporte plástico colmeia para cola de cílios,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Tesoura pequena,(vazio),"'Extensão de Cílios, Sobrancelha '",(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
Ventilador de mão,(vazio),'Extensão de Cílios',(vazio),(vazio),(vazio),(vazio),(vazio),NENHUM
